id,object_name,chain,object_type,address,number
76961,Виктория,да,кафе,"город Москва, 2-я Брестская улица, дом 24/15",98
72564,Вареничная №1,да,кафе,"город Москва, 2-я Брестская улица, дом 43",75
28608,КОМБИНАТ ПИТАНИЯ МГТУ ИМ.Н.Э.БАУМАНА,нет,буфет,"город Москва, Бригадирский переулок, дом 3-5",34
28613,КОМБИНАТ ПИТАНИЯ МГТУ ИМ.Н.Э.БАУМАНА,нет,закусочная,"город Москва, Бригадирский переулок, дом 3-5",216
28614,КОМБИНАТ ПИТАНИЯ МГТУ ИМ.Н.Э.БАУМАНА,нет,буфет,"город Москва, Бригадирский переулок, дом 3-5",12
25796,Пиццерия «АКАДЕМИЯ»,да,кафе,"город Москва, Большая Бронная улица, дом 2/6",43
129113,Чебуречная СССР,да,кафе,"город Москва, Большая Бронная улица, дом 27/4",54
136815,Местечко,нет,ресторан,"город Москва, Большая Бронная улица, дом 27/4",45
150625,Пай поинт,нет,кафе,"город Москва, Большая Бронная улица, дом 27/4",20
26075,МАКДОНАЛДС,да,предприятие быстрого обслуживания,"город Москва, Большая Бронная улица, дом 29",580
138699,"Кафе «Есть Хинкали, пить Вино»",нет,кафе,"город Москва, Малая Бронная улица, дом 4",40
138703,Кафе «Лаффа Лаффа»,нет,кафе,"город Москва, Малая Бронная улица, дом 4",24
102832,Ресторан «Humans seafood bar»,нет,ресторан,"город Москва, Малая Бронная улица, дом 10, строение 1",70
125205,Ресторан «Голос»,нет,ресторан,"город Москва, Малая Бронная улица, дом 10, строение 1",50
81431,Кафе «Эстетик»,нет,кафе,"город Москва, Малая Бронная улица, дом 20, строение 1",25
141006,Кафе «AVOCADO QUEEN»,нет,кафе,"город Москва, Малая Бронная улица, дом 20, строение 1",40
24262,Ресторан«Uilliams»,нет,ресторан,"город Москва, Малая Бронная улица, дом 20А",49
21790,Ресторан «ДОННА КЛАРА»,нет,ресторан,"город Москва, Малая Бронная улица, дом 21/13, строение 1",48
45561,Grand Cru,да,кафе,"город Москва, Малая Бронная улица, дом 22, строение 1",45
140349,Кафе «Ladure»,нет,кафе,"город Москва, Малая Бронная улица, дом 27/14",14
150881,ВГИК,нет,столовая,"город Москва, Будайская улица, дом 3",45
23261,Бильярдный Бар-клуб Полковник и Байрон,нет,кафе,"город Москва, проспект Будённого, дом 1/1",10
25768,Пиццерия «Питто»,нет,кафе,"город Москва, проспект Будённого, дом 24, корпус 1",20
23594,Кафе «БИРЮСА»,нет,кафе,"город Москва, Булатниковская улица, дом 5, корпус 4",20
26298,Чайхона №1,да,ресторан,"город Москва, улица Бутлерова, дом 22",159
25608,Шоколадница,да,кафе,"город Москва, Бутырская улица, дом 7",25
115498,Пекарня & Донер,нет,закусочная,"город Москва, Бутырская улица, дом 9, корпус 2",0
22801,Финист,нет,кафе,"город Москва, Бутырская улица, дом 11",95
27677,ДЭЗ Минтранса России,нет,столовая,"город Москва, Бутырская улица, дом 79",28
22996,KVARTA,нет,кафе,"город Москва, Бутырская улица, дом 84",38
26141,Панчо Пицца,да,ресторан,"город Москва, Бутырская улица, дом 89",64
26142,KFC,да,ресторан,"город Москва, Бутырская улица, дом 89",67
137903,PIZZA HUT,нет,кафе,"город Москва, улица Вавилова, дом 72/13",10
26595,IL Borgo,нет,ресторан,"город Москва, улица Вавилова, дом 81",42
24606,Радэа,нет,кафе,"город Москва, Нахимовский проспект, владение 75А",7
142684,Кофейня Даблби,нет,кафе,"город Москва, Валовая улица, дом 2-4/44, строение 1",20
144250,Сабвей,да,кафе,"город Москва, Валовая улица, дом 6",22
27207,ресторан «Якитория»,да,кафе,"город Москва, Валовая улица, дом 8/18",124
24109,кафе Баловень,нет,кафе,"город Москва, Валовая улица, дом 11/19",35
24155,Советские времена,да,кафе,"город Москва, Варсонофьевский переулок, дом 6",82
155973,Кафе «Андерсон»,да,кафе,"город Москва, Варшавское шоссе, дом 2",150
23618,Кафе «Subway»,да,кафе,"город Москва, Варшавское шоссе, дом 7, корпус 1",36
155852,Кафе «Ламаджо»,нет,кафе,"город Москва, Варшавское шоссе, дом 29",30
152556,Шаурма в пите,нет,предприятие быстрого обслуживания,"город Москва, Варшавское шоссе, дом 72, корпус 2",0
120658,Выпечка,нет,кафетерий,"город Москва, Варшавское шоссе, дом 100",2
26279,Ресторан «Макдоналдс»,да,кафе,"город Москва, Варшавское шоссе, дом 143А",70
149568,Суши,нет,предприятие быстрого обслуживания,"город Москва, улица Маршала Василевского, дом 3, корпус 1",0
27388,ШКОЛЬНАЯ СТОЛОВАЯ № 1874,нет,столовая,"город Москва, улица Маршала Василевского, дом 11, корпус 1",150
22301,МАКДОНАЛДС,да,предприятие быстрого обслуживания,"город Москва, улица Маршала Василевского, дом 17",45
158148,Кофе «Кофе собой»,нет,кафе,"город Москва, Васильевская улица, дом 2, корпус 1",10
24269,Кафе «КАЛИНКА-Д»,нет,кафе,"город Москва, Васильевская улица, дом 4",98
27131,ТАНУКИ,да,ресторан,"город Москва, Велозаводская улица, дом 6",114
28501,Авлабар,нет,ресторан,"город Москва, Велозаводская улица, дом 6",40
128946,Суши Сет,да,магазин (отдел кулинарии),"город Москва, Вельяминовская улица, дом 6",3
141687,Пироговая Рогова,нет,кафе,"город Москва, проспект Вернадского, дом 9/10",42
148853,Кафе контдитерская Кузина,нет,кафе,"город Москва, проспект Вернадского, дом 11/19",5
149149,Суши WoK,да,кафе,"город Москва, проспект Вернадского, дом 11/19",8
128511,Аморе,нет,кафе,"город Москва, проспект Вернадского, дом 11/19",10
24875,Шоколад,да,кафе,"город Москва, проспект Вернадского, дом 11/19",50
143755,Тирольские пироги,да,магазин (отдел кулинарии),"город Москва, проспект Вернадского, дом 13",10
24604,Кафе 35,нет,кафе,"город Москва, улица Кравченко, дом 24/35",40
23763,Столовая «ОП МГУ КП МГУ СТОЛОВАЯ 12»,нет,столовая,"город Москва, проспект Вернадского, дом 37",240
19716,Буфет,нет,буфет,"город Москва, проспект Вернадского, дом 86, строение 1",40
69990,Панорама 93,нет,ресторан,"город Москва, проспект Вернадского, дом 93",60
20147,Кафе «Пекарня «Мюнгер»»,нет,кафе,"город Москва, проспект Вернадского, дом 97, корпус 1",30
19989,ГудБар,нет,кафе,"город Москва, проспект Вернадского, дом 97, корпус 1",40
19761,Бар «Фитнес-бар»,нет,бар,"город Москва, проспект Вернадского, дом 103, корпус 1",24
19700,Кафе «ТЕАТР НА ЮГО-ЗАПАДЕ»,нет,кафе,"город Москва, проспект Вернадского, дом 125",20
24646,Угол,нет,кафе,"город Москва, Верхняя улица, дом 3, корпус 2",71
155529,Пекарня №1,нет,закусочная,"город Москва, Весковский переулок, дом 4",10
20632,БАР В ФИТНЕС КЛУБЕ,нет,бар,"город Москва, Глазовский переулок, дом 5",4
27991,СТОЛОВАЯ ПРИ ВОЕНТОРГБАЗ ФКП «5113ЦТЗБ»,нет,столовая,"город Москва, улица Вешних Вод, дом 6, корпус 1",100
23169,МАРИНА,нет,кафе,"город Москва, улица Вешних Вод, дом 8, корпус 2",90
23185,Кафе-бар «Караоке MyzOn»,нет,кафе,"город Москва, Вешняковская улица, дом 2",32
29549,ПРИ ШКОЛЕ 781,нет,столовая,"город Москва, Вешняковская улица, дом 2",220
20900,БУФЕТ-РАЗДАТОЧНАЯ,нет,буфет,"город Москва, улица Вилиса Лациса, дом 23, корпус 1",16
27372,Столовая ГБОУ СОШ №1399,нет,столовая,"город Москва, улица Вилиса Лациса, дом 33, корпус 1",120
80410,Гамбринус,да,ресторан,"город Москва, 1-я Владимирская улица, дом 9",50
23229,Пицца Фабрика,да,кафе,"город Москва, 1-я Владимирская улица, дом 14",18
126956,"Шаурма, куры-гриль",нет,предприятие быстрого обслуживания,"город Москва, 1-я Владимирская улица, дом 21",0
120580,Французская пекарня Delice,нет,магазин (отдел кулинарии),"город Москва, 1-я Владимирская улица, дом 39/12",12
21449,Буфет при ЦО №1852,нет,буфет,"город Москва, 2-я Владимирская улица, дом 22",40
73331,Суши фиш,нет,предприятие быстрого обслуживания,"город Москва, 2-я Владимирская улица, дом 36",3
77929,Subway,да,кафе,"город Москва, 2-я Владимирская улица, дом 36",14
149531,"Шаурма, куры-гриль",нет,предприятие быстрого обслуживания,"город Москва, 2-я Владимирская улица, дом 44/10",0
149428,Домино'с Пицца,да,кафе,"город Москва, 2-я Владимирская улица, дом 52, корпус 2",18
25814,Домино'с Пицца,да,кафе,"город Москва, 3-я Владимирская улица, дом 6",8
124201,"Шаурма, выпечка",нет,предприятие быстрого обслуживания,"город Москва, 3-я Владимирская улица, дом 27",0
27244,Тануки,да,ресторан,"город Москва, 3-я Владимирская улица, дом 29",100
21590,ШКОЛА 190 ФИЛИАЛ,нет,буфет,"город Москва, улица Архитектора Власова, дом 11, корпус 1",30
25786,Алло Пицца,да,предприятие быстрого обслуживания,"город Москва, улица Архитектора Власова, дом 47",40
29605,СТОЛОВАЯ ПРИ ИНСТИТУТЕ ИМ. ПУШКИНА,нет,столовая,"город Москва, улица Академика Волгина, дом 6",95
24872,Хинкальная,да,кафе,"город Москва, улица Академика Волгина, дом 29, корпус 1",80
26051,ДУРДИНЪ,нет,ресторан,"город Москва, Волгоградский проспект, дом 4",200
22005,Кафе «Якитория»,да,кафе,"город Москва, Волгоградский проспект, дом 15",158
150836,ГБОУ Школа №1468,нет,столовая,"город Москва, Волгоградский проспект, дом 17, строение 1",0
25583,Кафе «Чебурекас»,нет,кафе,"город Москва, Волгоградский проспект, дом 17, строение 1",65
27215,Кафе «Тануки»,да,ресторан,"город Москва, Волгоградский проспект, дом 17",150
156659,Loft 17,нет,бар,"город Москва, Волгоградский проспект, дом 17",55
29282,ГБОУ СОШ № 641 им. Сергея Есенина,нет,столовая,"город Москва, Волгоградский проспект, дом 66, корпус 4",196
21463,ГБОУ СОШ № 825,нет,столовая,"город Москва, Волгоградский проспект, дом 103, корпус 6",120
21462,ГБОУ «Лицейско-гимнастический комплекс на Юго-Востоке,нет,столовая,"город Москва, Волгоградский проспект, дом 157, корпус 4",220
25803,Сити Пицца,да,предприятие быстрого обслуживания,"город Москва, Ферганская улица, дом 12",4
22833,Кружка,да,кафе,"город Москва, Волоколамское шоссе, дом 3",45
22834,ПРО кафе,нет,кафе,"город Москва, Волоколамское шоссе, дом 13",48
28676,ГП КП МГАИ,нет,столовая,"город Москва, Волоколамское шоссе, дом 13",100
22835,Чебуречная СССР,да,кафе,"город Москва, Волоколамское шоссе, дом 15/22",60
71163,Английский паб Букингем,нет,бар,"город Москва, Волоколамское шоссе, дом 15/22",45
156226,Суши-шоп,нет,закусочная,"город Москва, Волоколамское шоссе, дом 92",0
24332,IL PIZZAIOLO,нет,кафе,"город Москва, улица Волхонка, дом 6",50
25738,Пельмени,нет,кафе,"город Москва, улица Волхонка, дом 7/6",40
29027,ГБОУ ШКОЛА 896 «КДП»,нет,столовая,"город Москва, Воронежская улица, дом 26, корпус 4",120
25003,Эко-Няма,нет,кафе,"город Москва, Воронцовская улица, дом 13/14, строение 3",8
24992,Кафе «Верона»,нет,кафе,"город Москва, Воронцовская улица, дом 36, строение 1",55
25447,Французская пекарня,нет,кафе,"город Москва, Воронцовская улица, дом 48",25
22029,Кафе «Subway»,да,кафе,"город Москва, Воронцовская улица, дом 48",42
83940,Тирольские пироги,да,кафетерий,"город Москва, Воронцовская улица, дом 48",30
25090,ООО «ТЕАТРО»,нет,кафе,"город Москва, Воротниковский переулок, дом 11, строение 1",35
26044,Ресторан «Балзи Росси»,нет,кафе,"город Москва, Кудринская площадь, дом 1",100
74613,Кофе Хаус,да,кафе,"город Москва, Кудринская площадь, дом 1",70
76765,Шоколадница,да,кафе,"город Москва, Кудринская площадь, дом 1",50
89468,Кафе «Кондитерская Олега Ильина»,нет,кафе,"город Москва, Кудринская площадь, дом 1",45
89471,Клуб «Высотка»,нет,бар,"город Москва, Кудринская площадь, дом 1",80
22691,Хинкала,нет,кафе,"город Москва, улица 8 Марта, дом 15",44
25487,СУЩЕВСКИЙ ДВОРИК,нет,кафе,"город Москва, 2-й Вышеславцев переулок, дом 17",48
28692,СТОЛОВАЯ АКАДЕМИИ МЧС РОССИИ,нет,столовая,"город Москва, улица Бориса Галушкина, дом 5",70
80355,Кофейня Авеню,нет,кафе,"город Москва, улица Бориса Галушкина, дом 10",38
27703,Кафе,нет,столовая,"город Москва, улица Бориса Галушкина, дом 26",45
23307,Элит,нет,ресторан,"город Москва, улица Гастелло, дом 37",98
154738,Пекарня,нет,предприятие быстрого обслуживания,"город Москва, улица Гастелло, дом 37",0
19821,Столовая ГБПОУ ЗКНО,нет,буфет,"город Москва, Гвардейская улица, дом 15, корпус 1",50
133485,Суши Сет,да,магазин (отдел кулинарии),"город Москва, улица Героев Панфиловцев, дом 1, корпус 1",4
27369,Столовая ГБОУ СОШ №1286,нет,столовая,"город Москва, улица Героев Панфиловцев, дом 13, корпус 1",100
135306,Суши Стор,нет,магазин (отдел кулинарии),"город Москва, улица Героев Панфиловцев, дом 16, корпус 1",4
21296,БУФЕТ,нет,буфет,"город Москва, улица Героев Панфиловцев, дом 51",20
147931,Кафе «PRIME CAFE»,нет,кафе,"город Москва, Большая Никитская улица, дом 24/1, строение 1",80
25654,Шоколадница,да,кафе,"город Москва, Большая Никитская улица, дом 24/1, строение 1",50
24159,Кафе «Лавка и кафе студии Лебедева»,нет,кафе,"город Москва, Большая Никитская улица, дом 35",30
148305,КОТИКИЛЮДИ,нет,кафе,"город Москва, улица Гиляровского, дом 17",40
21745,Шантимель,да,кафе,"город Москва, улица Гиляровского, дом 60, строение 1",20
27658,При школе 1294,нет,столовая,"город Москва, Глебовская улица, дом 10",240
76582,ХачапуриТверскя,нет,кафе,"город Москва, Большой Гнездниковский переулок, дом 10",76
71810,Get Lucky,нет,кафе,"город Москва, Малый Гнездниковский переулок, дом 9, строение 7",30
120427,Craft RePUBlic,нет,бар,"город Москва, Малый Гнездниковский переулок, дом 9, строение 7",38
25111,МУ-МУ,да,кафе,"город Москва, Малый Гнездниковский переулок, дом 9, строение 7",120
27280,Баба Марта,нет,ресторан,"город Москва, Гоголевский бульвар, дом 8",45
128456,Хинкальная,да,кафе,"город Москва, Гоголевский бульвар, дом 23",30
140347,Чемодан,нет,кафе,"город Москва, Гоголевский бульвар, дом 25, строение 1",50
101981,Кулинарная Лавка Братьев Караваевых Братья Караваевы,да,кафе,"город Москва, Гоголевский бульвар, дом 33/1",50
24529,Ресторан «Монте Кристо»,нет,ресторан,"город Москва, улица Маршала Голованова, дом 19",220
104191,Суши Вок,да,закусочная,"город Москва, Городецкая улица, дом 3",5
22596,ГИН-НО-ТАКИ,нет,кафе,"город Москва, Тверская улица, дом 6, строение 1",270
133843,Голову с плеч,нет,бар,"город Москва, Тверская улица, дом 12, строение 1",20
120430,Хлеб и Вино,нет,кафе,"город Москва, Тверская улица, дом 12, строение 2",65
22605,Бирхаус,нет,кафе,"город Москва, Тверская улица, дом 12, строение 7",56
141533,С утра,нет,кафе,"город Москва, Тверская улица, дом 12, строение 8",48
129210,Вареничная № 1,нет,кафе,"город Москва, Тверская улица, дом 14",78
142195,Howards Loves Craft,нет,бар,"город Москва, Тверская улица, дом 15",35
157127,LUNCHROOM,нет,кафе,"город Москва, Тверская улица, дом 15",20
82732,Прайм,да,кафе,"город Москва, Тверская улица, дом 15",20
60405,Пицца Экспресс,да,кафе,"город Москва, Тверская улица, дом 17",70
69468,АРМЕНИЯ,нет,ресторан,"город Москва, Тверская улица, дом 17",144
25141,Шоколадница Кофе Хаус,да,кафе,"город Москва, Тверская улица, дом 17",60
25847,Найт флайт,нет,ресторан,"город Москва, Тверская улица, дом 17",47
59356,Шоколадница,да,кафе,"город Москва, Тверская улица, дом 19",48
127915,Прайм,да,кафе,"город Москва, Тверская улица, дом 19А",41
69457,Dry and wet Bar,нет,ресторан,"город Москва, Тверская улица, дом 27, строение 1",70
25742,БИСТРО,нет,предприятие быстрого обслуживания,"город Москва, Тверская улица, дом 27, строение 1",0
157901,АВ-Дейли,нет,кафетерий,"город Москва, Тверская улица, дом 27, строение 2",8
71571,Шоколадница,да,кафе,"город Москва, Тверская улица, дом 27, строение 2",60
68446,Николай,да,кафе,"город Москва, Тверская улица, дом 30/2, строение 1",60
79486,Время есть,нет,кафе,"город Москва, Тверская улица, дом 30/2, строение 1",60
98253,Кофе Таймс,нет,кафе,"город Москва, 1-я Тверская-Ямская улица, дом 4",64
58463,Якитория,да,ресторан,"город Москва, 1-я Тверская-Ямская улица, дом 7",80
106504,Чайхона №1,да,кафе,"город Москва, 1-я Тверская-Ямская улица, дом 7",144
127913,Фудзи-Ко,нет,кафе,"город Москва, 1-я Тверская-Ямская улица, дом 7",32
157659,МАГНОЛИЯ,да,кафетерий,"город Москва, 1-я Тверская-Ямская улица, дом 9",10
127916,Прайм,да,кафе,"город Москва, 1-я Тверская-Ямская улица, дом 8",40
129109,Тирольские пироги,да,кафе,"город Москва, 1-я Тверская-Ямская улица, дом 11",30
144091,КОФЕ С СОБОЙ,да,предприятие быстрого обслуживания,"город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1",0
124578,Джаганнат,да,кафе,"город Москва, 1-я Тверская-Ямская улица, дом 13, строение 1",30
157978,АЛЁНКА,нет,кафе,"город Москва, 1-я Тверская-Ямская улица, дом 12",26
23384,ART PUB,нет,кафе,"город Москва, улица Госпитальный Вал, дом 22/2",90
25124,Шоколадница,да,кафе,"город Москва, улица Чаянова, дом 12",35
22943,Шёлковый путь,нет,ресторан,"город Москва, Кутузовский проспект, дом 71",90
82807,Ресторан «Молон лаве»,нет,ресторан,"город Москва, Большая Грузинская улица, дом 39",45
