,record_id,item_topic,source_topic,age_segment,dt,visits
113,1040710,Деньги,Дети,26-30,2019-09-24 18:57:00,25
114,1040711,Деньги,Дети,26-30,2019-09-24 18:58:00,25
115,1040712,Деньги,Дети,26-30,2019-09-24 18:59:00,33
116,1040713,Деньги,Дети,26-30,2019-09-24 19:00:00,9
117,1040714,Деньги,Дети,31-35,2019-09-24 18:28:00,1
118,1040715,Деньги,Дети,31-35,2019-09-24 18:30:00,4
119,1040716,Деньги,Дети,31-35,2019-09-24 18:31:00,2
120,1040717,Деньги,Дети,31-35,2019-09-24 18:33:00,1
121,1040718,Деньги,Дети,31-35,2019-09-24 18:34:00,3
122,1040719,Деньги,Дети,31-35,2019-09-24 18:52:00,1
123,1040720,Деньги,Дети,31-35,2019-09-24 18:53:00,1
124,1040721,Деньги,Дети,31-35,2019-09-24 18:54:00,9
125,1040722,Деньги,Дети,31-35,2019-09-24 18:55:00,18
126,1040723,Деньги,Дети,31-35,2019-09-24 18:56:00,20
127,1040724,Деньги,Дети,31-35,2019-09-24 18:57:00,42
128,1040725,Деньги,Дети,31-35,2019-09-24 18:58:00,24
129,1040726,Деньги,Дети,31-35,2019-09-24 18:59:00,30
130,1040727,Деньги,Дети,31-35,2019-09-24 19:00:00,12
131,1040728,Деньги,Дети,36-40,2019-09-24 18:28:00,1
132,1040729,Деньги,Дети,36-40,2019-09-24 18:30:00,2
133,1040730,Деньги,Дети,36-40,2019-09-24 18:33:00,1
134,1040731,Деньги,Дети,36-40,2019-09-24 18:53:00,1
135,1040732,Деньги,Дети,36-40,2019-09-24 18:54:00,6
136,1040733,Деньги,Дети,36-40,2019-09-24 18:55:00,17
137,1040734,Деньги,Дети,36-40,2019-09-24 18:56:00,16
138,1040735,Деньги,Дети,36-40,2019-09-24 18:57:00,21
139,1040736,Деньги,Дети,36-40,2019-09-24 18:58:00,33
140,1040737,Деньги,Дети,36-40,2019-09-24 18:59:00,21
141,1040738,Деньги,Дети,36-40,2019-09-24 19:00:00,5
142,1040739,Деньги,Дети,41-45,2019-09-24 18:28:00,1
143,1040740,Деньги,Дети,41-45,2019-09-24 18:30:00,1
144,1040741,Деньги,Дети,41-45,2019-09-24 18:31:00,1
145,1040742,Деньги,Дети,41-45,2019-09-24 18:32:00,1
146,1040743,Деньги,Дети,41-45,2019-09-24 18:54:00,1
147,1040744,Деньги,Дети,41-45,2019-09-24 18:55:00,7
148,1040745,Деньги,Дети,41-45,2019-09-24 18:56:00,1
149,1040746,Деньги,Дети,41-45,2019-09-24 18:57:00,13
150,1040747,Деньги,Дети,41-45,2019-09-24 18:58:00,10
151,1040748,Деньги,Дети,41-45,2019-09-24 18:59:00,7
152,1040749,Деньги,Дети,41-45,2019-09-24 19:00:00,1
153,1040750,Деньги,Дети,45+,2019-09-24 18:52:00,1
154,1040751,Деньги,Дети,45+,2019-09-24 18:55:00,4
155,1040752,Деньги,Дети,45+,2019-09-24 18:56:00,2
156,1040753,Деньги,Дети,45+,2019-09-24 18:57:00,4
157,1040754,Деньги,Дети,45+,2019-09-24 18:58:00,5
158,1040755,Деньги,Дети,45+,2019-09-24 18:59:00,1
159,1040756,Деньги,Дети,45+,2019-09-24 19:00:00,3
160,1040757,Деньги,Еда,18-25,2019-09-24 18:29:00,2
161,1040758,Деньги,Еда,18-25,2019-09-24 18:30:00,1
162,1040759,Деньги,Еда,18-25,2019-09-24 18:31:00,2
163,1040760,Деньги,Еда,18-25,2019-09-24 18:32:00,1
164,1040761,Деньги,Еда,18-25,2019-09-24 18:52:00,1
165,1040762,Деньги,Еда,18-25,2019-09-24 18:53:00,2
166,1040763,Деньги,Еда,18-25,2019-09-24 18:54:00,3
167,1040764,Деньги,Еда,18-25,2019-09-24 18:55:00,10
168,1040765,Деньги,Еда,18-25,2019-09-24 18:56:00,16
169,1040766,Деньги,Еда,18-25,2019-09-24 18:57:00,21
170,1040767,Деньги,Еда,18-25,2019-09-24 18:58:00,22
171,1040768,Деньги,Еда,18-25,2019-09-24 18:59:00,23
172,1040769,Деньги,Еда,18-25,2019-09-24 19:00:00,8
173,1040770,Деньги,Еда,26-30,2019-09-24 18:31:00,1
174,1040771,Деньги,Еда,26-30,2019-09-24 18:32:00,2
175,1040772,Деньги,Еда,26-30,2019-09-24 18:54:00,3
176,1040773,Деньги,Еда,26-30,2019-09-24 18:55:00,5
177,1040774,Деньги,Еда,26-30,2019-09-24 18:56:00,8
178,1040775,Деньги,Еда,26-30,2019-09-24 18:57:00,7
179,1040776,Деньги,Еда,26-30,2019-09-24 18:58:00,4
180,1040777,Деньги,Еда,26-30,2019-09-24 18:59:00,2
181,1040778,Деньги,Еда,31-35,2019-09-24 18:54:00,2
182,1040779,Деньги,Еда,31-35,2019-09-24 18:55:00,1
183,1040780,Деньги,Еда,31-35,2019-09-24 18:56:00,4
184,1040781,Деньги,Еда,31-35,2019-09-24 18:57:00,7
185,1040782,Деньги,Еда,31-35,2019-09-24 18:58:00,3
186,1040783,Деньги,Еда,31-35,2019-09-24 18:59:00,4
187,1040784,Деньги,Еда,31-35,2019-09-24 19:00:00,1
188,1040785,Деньги,Еда,36-40,2019-09-24 18:57:00,9
189,1040786,Деньги,Еда,36-40,2019-09-24 18:58:00,2
190,1040787,Деньги,Еда,36-40,2019-09-24 18:59:00,1
191,1040788,Деньги,Еда,36-40,2019-09-24 19:00:00,5
192,1040789,Деньги,Еда,41-45,2019-09-24 18:54:00,1
193,1040790,Деньги,Еда,41-45,2019-09-24 18:55:00,1
194,1040791,Деньги,Еда,41-45,2019-09-24 18:57:00,1
195,1040792,Деньги,Еда,41-45,2019-09-24 19:00:00,1
196,1040793,Деньги,Еда,45+,2019-09-24 18:55:00,1
197,1040794,Деньги,Еда,45+,2019-09-24 18:57:00,2
198,1040795,Деньги,Еда,45+,2019-09-24 18:58:00,3
199,1040796,Деньги,Здоровье,18-25,2019-09-24 18:31:00,2
200,1040797,Деньги,Здоровье,18-25,2019-09-24 18:54:00,3
201,1040798,Деньги,Здоровье,18-25,2019-09-24 18:55:00,5
202,1040799,Деньги,Здоровье,18-25,2019-09-24 18:56:00,3
203,1040800,Деньги,Здоровье,18-25,2019-09-24 18:57:00,7
204,1040801,Деньги,Здоровье,18-25,2019-09-24 18:58:00,6
205,1040802,Деньги,Здоровье,18-25,2019-09-24 18:59:00,6
206,1040803,Деньги,Здоровье,18-25,2019-09-24 19:00:00,1
207,1040804,Деньги,Здоровье,26-30,2019-09-24 18:54:00,3
208,1040805,Деньги,Здоровье,26-30,2019-09-24 18:55:00,2
209,1040806,Деньги,Здоровье,26-30,2019-09-24 18:57:00,2
210,1040807,Деньги,Здоровье,26-30,2019-09-24 18:58:00,1
211,1040808,Деньги,Здоровье,26-30,2019-09-24 19:00:00,1
212,1040809,Деньги,Здоровье,31-35,2019-09-24 18:56:00,3
213,1040810,Деньги,Здоровье,31-35,2019-09-24 18:57:00,4
214,1040811,Деньги,Здоровье,31-35,2019-09-24 18:58:00,3
215,1040812,Деньги,Здоровье,31-35,2019-09-24 18:59:00,1
216,1040813,Деньги,Здоровье,36-40,2019-09-24 18:33:00,1
217,1040814,Деньги,Здоровье,36-40,2019-09-24 18:57:00,2
218,1040815,Деньги,Здоровье,36-40,2019-09-24 18:59:00,3
219,1040816,Деньги,Здоровье,41-45,2019-09-24 18:55:00,1
220,1040817,Деньги,Здоровье,41-45,2019-09-24 18:56:00,2
221,1040818,Деньги,Здоровье,41-45,2019-09-24 19:00:00,1
222,1040819,Деньги,Здоровье,45+,2019-09-24 18:59:00,1
223,1040820,Деньги,Здоровье,45+,2019-09-24 19:00:00,1
224,1040821,Деньги,Знаменитости,18-25,2019-09-24 18:28:00,1
225,1040822,Деньги,Знаменитости,18-25,2019-09-24 18:29:00,3
226,1040823,Деньги,Знаменитости,18-25,2019-09-24 18:30:00,1
227,1040824,Деньги,Знаменитости,18-25,2019-09-24 18:31:00,2
228,1040825,Деньги,Знаменитости,18-25,2019-09-24 18:32:00,2
229,1040826,Деньги,Знаменитости,18-25,2019-09-24 18:33:00,2
230,1040827,Деньги,Знаменитости,18-25,2019-09-24 18:52:00,1
231,1040828,Деньги,Знаменитости,18-25,2019-09-24 18:53:00,2
232,1040829,Деньги,Знаменитости,18-25,2019-09-24 18:54:00,7
233,1040830,Деньги,Знаменитости,18-25,2019-09-24 18:55:00,23
234,1040831,Деньги,Знаменитости,18-25,2019-09-24 18:56:00,38
235,1040832,Деньги,Знаменитости,18-25,2019-09-24 18:57:00,42
236,1040833,Деньги,Знаменитости,18-25,2019-09-24 18:58:00,43
237,1040834,Деньги,Знаменитости,18-25,2019-09-24 18:59:00,44
238,1040835,Деньги,Знаменитости,18-25,2019-09-24 19:00:00,14
239,1040836,Деньги,Знаменитости,26-30,2019-09-24 18:31:00,3
240,1040837,Деньги,Знаменитости,26-30,2019-09-24 18:32:00,3
241,1040838,Деньги,Знаменитости,26-30,2019-09-24 18:54:00,5
242,1040839,Деньги,Знаменитости,26-30,2019-09-24 18:55:00,4
243,1040840,Деньги,Знаменитости,26-30,2019-09-24 18:56:00,13
244,1040841,Деньги,Знаменитости,26-30,2019-09-24 18:57:00,13
245,1040842,Деньги,Знаменитости,26-30,2019-09-24 18:58:00,21
246,1040843,Деньги,Знаменитости,26-30,2019-09-24 18:59:00,12
247,1040844,Деньги,Знаменитости,26-30,2019-09-24 19:00:00,4
248,1040845,Деньги,Знаменитости,31-35,2019-09-24 18:29:00,2
249,1040846,Деньги,Знаменитости,31-35,2019-09-24 18:31:00,4
250,1040847,Деньги,Знаменитости,31-35,2019-09-24 18:33:00,1
251,1040848,Деньги,Знаменитости,31-35,2019-09-24 18:52:00,1
252,1040849,Деньги,Знаменитости,31-35,2019-09-24 18:54:00,7
253,1040850,Деньги,Знаменитости,31-35,2019-09-24 18:55:00,15
254,1040851,Деньги,Знаменитости,31-35,2019-09-24 18:56:00,24
255,1040852,Деньги,Знаменитости,31-35,2019-09-24 18:57:00,24
256,1040853,Деньги,Знаменитости,31-35,2019-09-24 18:58:00,24
257,1040854,Деньги,Знаменитости,31-35,2019-09-24 18:59:00,20
258,1040855,Деньги,Знаменитости,31-35,2019-09-24 19:00:00,8
259,1040856,Деньги,Знаменитости,36-40,2019-09-24 18:28:00,1
260,1040857,Деньги,Знаменитости,36-40,2019-09-24 18:29:00,3
261,1040858,Деньги,Знаменитости,36-40,2019-09-24 18:30:00,1
262,1040859,Деньги,Знаменитости,36-40,2019-09-24 18:32:00,3
263,1040860,Деньги,Знаменитости,36-40,2019-09-24 18:53:00,1
264,1040861,Деньги,Знаменитости,36-40,2019-09-24 18:54:00,6
265,1040862,Деньги,Знаменитости,36-40,2019-09-24 18:55:00,6
266,1040863,Деньги,Знаменитости,36-40,2019-09-24 18:56:00,14
267,1040864,Деньги,Знаменитости,36-40,2019-09-24 18:57:00,24
268,1040865,Деньги,Знаменитости,36-40,2019-09-24 18:58:00,22
269,1040866,Деньги,Знаменитости,36-40,2019-09-24 18:59:00,16
270,1040867,Деньги,Знаменитости,36-40,2019-09-24 19:00:00,7
271,1040868,Деньги,Знаменитости,41-45,2019-09-24 18:55:00,3
272,1040869,Деньги,Знаменитости,41-45,2019-09-24 18:56:00,3
273,1040870,Деньги,Знаменитости,41-45,2019-09-24 18:57:00,15
274,1040871,Деньги,Знаменитости,41-45,2019-09-24 18:58:00,8
275,1040872,Деньги,Знаменитости,41-45,2019-09-24 18:59:00,5
276,1040873,Деньги,Знаменитости,45+,2019-09-24 18:29:00,1
277,1040874,Деньги,Знаменитости,45+,2019-09-24 18:55:00,1
278,1040875,Деньги,Знаменитости,45+,2019-09-24 18:56:00,1
279,1040876,Деньги,Знаменитости,45+,2019-09-24 18:57:00,4
280,1040877,Деньги,Знаменитости,45+,2019-09-24 18:58:00,9
281,1040878,Деньги,Знаменитости,45+,2019-09-24 18:59:00,2
282,1040879,Деньги,Знаменитости,45+,2019-09-24 19:00:00,2
283,1040880,Деньги,Интерьеры,18-25,2019-09-24 18:29:00,1
284,1040881,Деньги,Интерьеры,18-25,2019-09-24 18:54:00,3
285,1040882,Деньги,Интерьеры,18-25,2019-09-24 18:56:00,7
286,1040883,Деньги,Интерьеры,18-25,2019-09-24 18:57:00,4
287,1040884,Деньги,Интерьеры,18-25,2019-09-24 18:58:00,4
288,1040885,Деньги,Интерьеры,18-25,2019-09-24 18:59:00,5
289,1040886,Деньги,Интерьеры,18-25,2019-09-24 19:00:00,3
290,1040887,Деньги,Интерьеры,26-30,2019-09-24 18:55:00,5
291,1040888,Деньги,Интерьеры,26-30,2019-09-24 18:56:00,1
292,1040889,Деньги,Интерьеры,26-30,2019-09-24 18:57:00,4
293,1040890,Деньги,Интерьеры,26-30,2019-09-24 18:58:00,2
294,1040891,Деньги,Интерьеры,26-30,2019-09-24 18:59:00,3
295,1040892,Деньги,Интерьеры,31-35,2019-09-24 18:30:00,1
296,1040893,Деньги,Интерьеры,31-35,2019-09-24 18:54:00,1
297,1040894,Деньги,Интерьеры,31-35,2019-09-24 18:55:00,1
298,1040895,Деньги,Интерьеры,31-35,2019-09-24 18:56:00,2
299,1040896,Деньги,Интерьеры,31-35,2019-09-24 18:57:00,1
300,1040897,Деньги,Интерьеры,31-35,2019-09-24 18:59:00,2
301,1040898,Деньги,Интерьеры,31-35,2019-09-24 19:00:00,1
302,1040899,Деньги,Интерьеры,36-40,2019-09-24 18:56:00,4
303,1040900,Деньги,Интерьеры,36-40,2019-09-24 18:58:00,1
304,1040901,Деньги,Интерьеры,36-40,2019-09-24 18:59:00,2
305,1040902,Деньги,Интерьеры,41-45,2019-09-24 18:55:00,1
306,1040903,Деньги,Интерьеры,45+,2019-09-24 18:56:00,2
307,1040904,Деньги,Интерьеры,45+,2019-09-24 18:59:00,1
308,1040905,Деньги,Искусство,18-25,2019-09-24 18:31:00,2
309,1040906,Деньги,Искусство,18-25,2019-09-24 18:52:00,2
310,1040907,Деньги,Искусство,18-25,2019-09-24 18:54:00,1
311,1040908,Деньги,Искусство,18-25,2019-09-24 18:55:00,9
312,1040909,Деньги,Искусство,18-25,2019-09-24 18:56:00,12
313,1040910,Деньги,Искусство,18-25,2019-09-24 18:57:00,19
314,1040911,Деньги,Искусство,18-25,2019-09-24 18:58:00,17
315,1040912,Деньги,Искусство,18-25,2019-09-24 18:59:00,9
316,1040913,Деньги,Искусство,18-25,2019-09-24 19:00:00,4
317,1040914,Деньги,Искусство,26-30,2019-09-24 18:31:00,1
318,1040915,Деньги,Искусство,26-30,2019-09-24 18:32:00,1
319,1040916,Деньги,Искусство,26-30,2019-09-24 18:54:00,1
320,1040917,Деньги,Искусство,26-30,2019-09-24 18:55:00,4
321,1040918,Деньги,Искусство,26-30,2019-09-24 18:56:00,6
322,1040919,Деньги,Искусство,26-30,2019-09-24 18:57:00,9
323,1040920,Деньги,Искусство,26-30,2019-09-24 18:58:00,11
324,1040921,Деньги,Искусство,26-30,2019-09-24 18:59:00,3
325,1040922,Деньги,Искусство,26-30,2019-09-24 19:00:00,2
326,1040923,Деньги,Искусство,31-35,2019-09-24 18:32:00,1
327,1040924,Деньги,Искусство,31-35,2019-09-24 18:54:00,2
328,1040925,Деньги,Искусство,31-35,2019-09-24 18:55:00,3
329,1040926,Деньги,Искусство,31-35,2019-09-24 18:56:00,4
330,1040927,Деньги,Искусство,31-35,2019-09-24 18:57:00,1
331,1040928,Деньги,Искусство,31-35,2019-09-24 18:58:00,9
332,1040929,Деньги,Искусство,31-35,2019-09-24 18:59:00,4
333,1040930,Деньги,Искусство,31-35,2019-09-24 19:00:00,2
334,1040931,Деньги,Искусство,36-40,2019-09-24 18:29:00,1
335,1040932,Деньги,Искусство,36-40,2019-09-24 18:54:00,1
336,1040933,Деньги,Искусство,36-40,2019-09-24 18:55:00,1
337,1040934,Деньги,Искусство,36-40,2019-09-24 18:57:00,7
338,1040935,Деньги,Искусство,36-40,2019-09-24 18:58:00,4
339,1040936,Деньги,Искусство,36-40,2019-09-24 18:59:00,2
340,1040937,Деньги,Искусство,36-40,2019-09-24 19:00:00,3
341,1040938,Деньги,Искусство,41-45,2019-09-24 18:55:00,1
342,1040939,Деньги,Искусство,41-45,2019-09-24 18:56:00,1
343,1040940,Деньги,Искусство,41-45,2019-09-24 18:57:00,2
344,1040941,Деньги,Искусство,41-45,2019-09-24 18:58:00,2
345,1040942,Деньги,Искусство,41-45,2019-09-24 18:59:00,2
346,1040943,Деньги,Искусство,41-45,2019-09-24 19:00:00,1
347,1040944,Деньги,Искусство,45+,2019-09-24 18:29:00,1
348,1040945,Деньги,Искусство,45+,2019-09-24 18:55:00,1
349,1040946,Деньги,Искусство,45+,2019-09-24 18:57:00,1
350,1040947,Деньги,Искусство,45+,2019-09-24 18:58:00,1
351,1040948,Деньги,Искусство,45+,2019-09-24 18:59:00,1
352,1040949,Деньги,История,18-25,2019-09-24 18:30:00,3
353,1040950,Деньги,История,18-25,2019-09-24 18:31:00,1
354,1040951,Деньги,История,18-25,2019-09-24 18:32:00,3
355,1040952,Деньги,История,18-25,2019-09-24 18:33:00,1
356,1040953,Деньги,История,18-25,2019-09-24 18:54:00,6
357,1040954,Деньги,История,18-25,2019-09-24 18:55:00,6
358,1040955,Деньги,История,18-25,2019-09-24 18:56:00,21
359,1040956,Деньги,История,18-25,2019-09-24 18:57:00,22
360,1040957,Деньги,История,18-25,2019-09-24 18:58:00,19
361,1040958,Деньги,История,18-25,2019-09-24 18:59:00,21
362,1040959,Деньги,История,18-25,2019-09-24 19:00:00,5
363,1040960,Деньги,История,26-30,2019-09-24 18:29:00,1
364,1040961,Деньги,История,26-30,2019-09-24 18:31:00,1
365,1040962,Деньги,История,26-30,2019-09-24 18:32:00,1
366,1040963,Деньги,История,26-30,2019-09-24 18:34:00,1
367,1040964,Деньги,История,26-30,2019-09-24 18:54:00,2
368,1040965,Деньги,История,26-30,2019-09-24 18:55:00,5
369,1040966,Деньги,История,26-30,2019-09-24 18:56:00,5
370,1040967,Деньги,История,26-30,2019-09-24 18:57:00,10
371,1040968,Деньги,История,26-30,2019-09-24 18:58:00,6
372,1040969,Деньги,История,26-30,2019-09-24 18:59:00,13
373,1040970,Деньги,История,26-30,2019-09-24 19:00:00,2
374,1040971,Деньги,История,31-35,2019-09-24 18:54:00,2
375,1040972,Деньги,История,31-35,2019-09-24 18:55:00,4
376,1040973,Деньги,История,31-35,2019-09-24 18:56:00,6
377,1040974,Деньги,История,31-35,2019-09-24 18:57:00,10
378,1040975,Деньги,История,31-35,2019-09-24 18:58:00,14
379,1040976,Деньги,История,31-35,2019-09-24 18:59:00,16
380,1040977,Деньги,История,31-35,2019-09-24 19:00:00,4
381,1040978,Деньги,История,36-40,2019-09-24 18:30:00,1
382,1040979,Деньги,История,36-40,2019-09-24 18:33:00,1
383,1040980,Деньги,История,36-40,2019-09-24 18:34:00,1
384,1040981,Деньги,История,36-40,2019-09-24 18:54:00,1
385,1040982,Деньги,История,36-40,2019-09-24 18:55:00,3
386,1040983,Деньги,История,36-40,2019-09-24 18:56:00,5
387,1040984,Деньги,История,36-40,2019-09-24 18:57:00,6
388,1040985,Деньги,История,36-40,2019-09-24 18:58:00,10
389,1040986,Деньги,История,36-40,2019-09-24 18:59:00,2
390,1040987,Деньги,История,36-40,2019-09-24 19:00:00,3
391,1040988,Деньги,История,41-45,2019-09-24 18:54:00,1
392,1040989,Деньги,История,41-45,2019-09-24 18:55:00,2
393,1040990,Деньги,История,41-45,2019-09-24 18:56:00,2
394,1040991,Деньги,История,41-45,2019-09-24 18:57:00,5
395,1040992,Деньги,История,41-45,2019-09-24 18:58:00,6
396,1040993,Деньги,История,41-45,2019-09-24 18:59:00,3
397,1040994,Деньги,История,41-45,2019-09-24 19:00:00,2
398,1040995,Деньги,История,45+,2019-09-24 18:56:00,1
399,1040996,Деньги,История,45+,2019-09-24 18:57:00,2
400,1040997,Деньги,История,45+,2019-09-24 18:59:00,2
401,1040998,Деньги,История,45+,2019-09-24 19:00:00,1
